"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Anthrax","Confirmed cases","Reported cases","N","2007","AT","Austria",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","BE","Belgium",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","BG","Bulgaria",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","CY","Cyprus",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","CZ","Czechia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","DE","Germany",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","DK","Denmark",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","EE","Estonia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","EL","Greece",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","ES","Spain",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","EU27_21","EU (without UK)",3.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","EU27_UK_21","EU (with UK until 2019)",3.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","EUEEA30_21","EU/EEA (without UK)",3.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",3.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","FI","Finland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","FR","France",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","HU","Hungary",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","IE","Ireland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","IS","Iceland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","IT","Italy",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","LT","Lithuania",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2007","LU","Luxembourg",0.000000000,""
