badge;country;eventId;reportId;disease;subType;eventStartDate;reason;reportStatus;submissionDate;reportNumber
"";"United Kingdom";245;920;"Anthrax ";"";"4/17/2006";"Recurrence of an eradicated disease";"Validated";"6/18/2007";"FUR_1"
"";"Romania";431;1650;"Anthrax ";"";"12/5/2007";"Recurrence of an eradicated disease";"Validated";"2/21/2008";"FUR_1"
"";"Romania";519;1935;"Anthrax ";"";"8/1/2008";"Recurrence of an eradicated disease";"Validated";"8/21/2008";"FUR_2"
"";"Finland";545;2089;"Anthrax ";"";"9/11/2008";"Recurrence of an eradicated disease";"Validated";"11/19/2008";"FUR_1"
"";"Slovenia";558;2031;"Anthrax ";"";"10/8/2008";"Recurrence of an eradicated disease";"Validated";"10/16/2008";"IN"
"";"Sweden";590;2135;"Anthrax ";"";"11/28/2008";"Recurrence of an eradicated disease";"Validated";"12/14/2008";"IN"
"";"Germany";705;2570;"Anthrax ";"";"7/19/2009";"Recurrence of an eradicated disease";"Validated";"8/2/2009";"IN"
"";"Slovakia";886;4067;"Anthrax ";"";"7/8/2010";"Recurrence of an eradicated disease";"Validated";"3/13/2011";"FUR_2"
"";"Croatia";1004;4328;"Anthrax ";"";"1/26/2011";"Recurrence of an eradicated disease";"Validated";"6/12/2011";"FUR_2"
"";"Serbia";1076;4443;"Anthrax ";"";"6/6/2011";"Recurrence of an eradicated disease";"Validated";"8/2/2011";"FUR_2"
"";"Sweden";1085;4567;"Anthrax ";"";"7/21/2011";"Recurrence of an eradicated disease";"Validated";"9/19/2011";"FUR_3"
"";"Italy";1107;4686;"Anthrax ";"";"8/29/2011";"Recurrence of an eradicated disease";"Validated";"10/26/2011";"FUR_4"
"";"Croatia";1146;4956;"Anthrax ";"";"11/11/2011";"Recurrence of an eradicated disease";"Validated";"3/11/2012";"FUR_2"
"";"Ukraine";1241;5300;"Anthrax ";"";"5/12/2012";"First occurrence in a zone or a compartment";"Validated";"5/17/2012";"IN"
"";"Croatia";1256;5513;"Anthrax ";"";"6/14/2012";"Recurrence of an eradicated disease";"Validated";"8/30/2012";"FUR_1"
"";"Germany";1261;5464;"Anthrax ";"";"7/10/2012";"Recurrence of an eradicated disease";"Validated";"8/7/2012";"FUR_1"
"";"Ukraine";1275;5491;"Anthrax ";"";"8/14/2012";"First occurrence in a zone or a compartment";"Validated";"8/19/2012";"IN"
"";"Italy";1282;5640;"Anthrax ";"";"8/22/2012";"Recurrence of an eradicated disease";"Validated";"11/22/2012";"FUR_2"
"";"Slovakia";1305;5661;"Anthrax ";"";"11/4/2012";"Recurrence of an eradicated disease";"Validated";"12/5/2012";"FUR_1"
"";"Serbia";1405;6058;"Anthrax ";"";"7/1/2013";"Recurrence of an eradicated disease";"Validated";"7/14/2013";"IN"
"";"Sweden";1454;6415;"Anthrax ";"";"10/29/2013";"Recurrence of an eradicated disease";"Validated";"1/14/2014";"FUR_3"
"";"Germany";1534;6774;"Anthrax ";"";"4/15/2014";"Recurrence of an eradicated disease";"Validated";"6/3/2014";"FUR_1"
"";"Croatia";1542;6915;"Anthrax ";"";"5/5/2014";"Recurrence of an eradicated disease";"Validated";"7/24/2014";"FUR_1"
"";"Poland";1570;7046;"Anthrax ";"";"6/17/2014";"Recurrence of an eradicated disease";"Validated";"9/7/2014";"FUR_9"
"";"Romania";1590;7130;"Anthrax ";"";"7/31/2014";"Recurrence of an eradicated disease";"Validated";"10/1/2014";"FUR_3"
"";"Italy";1633;7367;"Anthrax ";"";"9/2/2014";"Recurrence of an eradicated disease";"Validated";"12/2/2014";"FUR_1"
"";"Slovakia";1618;7257;"Anthrax ";"";"9/26/2014";"Recurrence of an eradicated disease";"Validated";"11/4/2014";"FUR_1"
"";"Italy";1634;7368;"Anthrax ";"";"10/9/2014";"Recurrence of an eradicated disease";"Validated";"12/2/2014";"FUR_1"
"";"Croatia";1651;7463;"Anthrax ";"";"11/20/2014";"Recurrence of an eradicated disease";"Validated";"12/29/2014";"FUR_1"
"";"Italy";1765;8585;"Anthrax ";"";"5/21/2015";"Recurrence of an eradicated disease";"Validated";"10/29/2015";"FUR_1"
"";"Slovenia";1819;8723;"Anthrax ";"";"8/19/2015";"Recurrence of an eradicated disease";"Validated";"12/1/2015";"FUR_1"
"";"United Kingdom";1855;8704;"Anthrax ";"";"10/20/2015";"Recurrence of an eradicated disease";"Validated";"11/25/2015";"FUR_4"
"";"North Macedonia";1861;8676;"Anthrax ";"";"10/29/2015";"Recurrence of an eradicated disease";"Validated";"1/21/2016";"FUR_1"
"";"Ukraine";1928;10829;"Anthrax ";"";"3/18/2016";"Recurrence of an eradicated disease";"Validated";"3/6/2017";"FUR_1"
"";"Romania";1954;9429;"Anthrax ";"";"6/2/2016";"Recurrence of an eradicated disease";"Validated";"7/20/2016";"FUR_2"
"";"Italy";1964;9570;"Anthrax ";"";"6/12/2016";"Recurrence of an eradicated disease";"Validated";"8/21/2016";"FUR_1"
